nombre,descripcion,precio,categoria,talles,color
Zapatillas Puma MambaNegra,"Es de contrucción de una pieza única en textil con piezas laterales en plástico y un elastico para mayor soporte.
La suela está compuesta totalmente de EVA, sin goma, para un calzado liviano.",41895.00,Hombre,40 al 45,negro
Zapatillas Adidas Racer TR1,Movete con confianza a lo largo del día con un comodo ajuste ceñido y una media suela ligera que brinda amortiguación durante todo el día.,69999.99,Hombre,38 al 45,blanco
Zapatillas Jhon Foos,Calzado ideal para desarrollar todas tus actividades urbanas.,69859,Hombre,39 al 46,negro
Zapatillas Jhon Foos,Calzado ideal para desarrollar todas tus actividades urbanas.,69859,Hombre,39 al 46,blanco
Zapatillas Nike Air Max,"Originalmente diseñada para el running de alto rendimiento, la amortiguación Max Air brinda comodidad comprobada.",169999,Hombre,37 al 46,blanco
Zapatillas Puma X-Ray,Tecnología Soft Foam en la plantilla que permite una pisada confortable y adaptable a tu pie,69999,Mujer,34 al 37,rosa
Zapatillas Puma X-Ray,Tecnología Soft Foam en la plantilla que permite una pisada confortable y adaptable a tu pie,69999,Mujer,34 al 37,blanco
Zapatillas Vans Clasicas,Zapatillas comodas para uso diario,69999.99,Mujer,34 al 38,negro
Zapatillas Vans Clasicas,Zapatillas comodas para uso diario,69999.99,Mujer,34 al 38,azul
Zapatillas Botas Atomik Flip,Zapatillas divertidas y comodas para niños,59999,Niños,25 al 30,negro
Zapatillas Botas Atomik Flip,Zapatillas divertidas y comodas para niños,59999,Niños,25 al 30,blanco
Medias Nike Soquetes x3,Perfectas para lucir como si no tuvieras nada puesto debajo de tus zapatillas.,5999,Otros,M,negro
Medias Puma Caña Alta x3,Estilo y comodidad con las nuevas medias PUMA. Algodón suave.,8899,Otros,5,blanco
Medias de Futbol Adidas,Su tejido con tecnología Aeroready garantiza un ajuste perfecto y alta performance en la cancha.,9599,Otros,S al XL,negro
Ojotas Puma Popcat,Suela de EVA inyectada para mayor suavidad y comodidad.,27999,Otros,34 al 45,blanco
